TITLE,LOCATION,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES,PRICE_NPR,RATE_VALUE,RATE_UNIT,RATE_DENOMINATOR,LAND_AREA_AANA,BUILDUP_AREA_SQFT,ROAD_ACCESS_FEET
"Bungalow for sale in Rudreshwor, Narayanthan","Rudreshwor, Kathmandu",North-West,2.5,5.0,4.0,2073 B.S,,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Power Backup', 'Parking']",33500000.0,,,,5.0,,12.5
"House on rent at Dhumbarahi, Kathmandu","Dhumbarahi, Kathmandu",South,2.5,4.0,4.0,2073 B.S,,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Parking', 'Drainage', 'Drinking Water']",,125000.0,NPR,m,11.0,,13.0
"Beautiful house on sale at Tikathali, Lalitpur","Tikathali, Lalitpur",East,2.5,9.0,3.0,2076 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",21500000.0,,,,2.3,,13.0
"House on sale at Kunwar Colony, Dhapasi","Dhapasi, Kathmandu",East,2.5,7.0,4.0,2076 B.S,,"['Marbel', 'Drinking Water', 'Bathroom', 'Parking', 'Garden', 'Drainage']",39000000.0,,,,7.0,,12.0
"Attractive house for sale in Imadol, Lalitpur","Imadol, Lalitpur",West,3.5,5.0,3.0,2073 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']",27500000.0,,,,3.0,,20.0
"Beautiful house on sale at Mandikhatar, Budhanilkantha","Mandikhatar, Kathmandu",North,3.0,6.0,5.0,2070 B.S,,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']",29500000.0,,,,3.1,,13.0
Attractive house for sale at Chandragiri,"Chandragiri, Kathmandu",South-East,2.0,2.0,2.0,2073 B.S,,"['Drainage', 'Drinking Water', 'Bathroom', 'Parking']",16000000.0,,,,4.0,,10.0
"Beautiful house on sale at Ganesh Basti, Maharajgunj","Maharajgunj, Kathmandu",North-East,2.5,6.0,3.0,2073 B.S,,"['Drinking Water', 'Parking', 'Drainage', 'Bathroom']",72500000.0,,,,10.0,,13.0
"Beautiful bungalow on rent at Gokarna, Kathmandu","Gokarna, Kathmandu",South,2.5,3.0,4.0,,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water']",,125000.0,NPR,m,37.0,,15.0
"Newly built house on sale at Sundarbasti, Budhanilkatha","Sundarbasti, Kathmandu",North,3.5,6.0,5.0,2076 B.S,,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']",38500000.0,,,,4.5,,13.0
